yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
197104,0.0386,0.0725,0.0845,0.0619,0.0120,0.0233
197105,0.0414,0.0753,0.0862,0.0624,0.0109,0.0210
197106,0.0475,0.0764,0.0875,0.0641,0.0111,0.0166
197107,0.0540,0.0764,0.0876,0.0643,0.0112,0.0103
197108,0.0494,0.0759,0.0876,0.0610,0.0117,0.0116
197109,0.0469,0.0744,0.0859,0.0598,0.0115,0.0129
197110,0.0446,0.0739,0.0848,0.0588,0.0109,0.0142
197111,0.0422,0.0726,0.0838,0.0596,0.0112,0.0174
197112,0.0401,0.0725,0.0838,0.0597,0.0113,0.0196
197201,0.0338,0.0719,0.0823,0.0606,0.0104,0.0268
197202,0.0320,0.0727,0.0823,0.0602,0.0096,0.0282
197203,0.0373,0.0724,0.0824,0.0613,0.0100,0.0240
197204,0.0371,0.0730,0.0824,0.0615,0.0094,0.0244
197205,0.0369,0.0730,0.0823,0.0597,0.0093,0.0228
197206,0.0391,0.0723,0.0820,0.0607,0.0097,0.0216
197207,0.0398,0.0721,0.0823,0.0593,0.0102,0.0195
197208,0.0402,0.0719,0.0819,0.0595,0.0100,0.0193
197209,0.0466,0.0722,0.0809,0.0606,0.0087,0.0140
197210,0.0474,0.0721,0.0806,0.0591,0.0085,0.0117
197211,0.0478,0.0712,0.0799,0.0577,0.0087,0.0099
197212,0.0507,0.0708,0.0793,0.0599,0.0085,0.0092
197301,0.0541,0.0715,0.0790,0.0685,0.0075,0.0144
197302,0.0560,0.0722,0.0797,0.0688,0.0075,0.0128
197303,0.0609,0.0729,0.0803,0.0686,0.0074,0.0077
197304,0.0626,0.0726,0.0809,0.0687,0.0083,0.0061
197305,0.0636,0.0729,0.0806,0.0703,0.0077,0.0067
197306,0.0719,0.0737,0.0813,0.0710,0.0076,-0.0009
197307,0.0801,0.0745,0.0824,0.0760,0.0079,-0.0041
197308,0.0867,0.0768,0.0853,0.0728,0.0085,-0.0139
197309,0.0829,0.0763,0.0863,0.0703,0.0100,-0.0126
197310,0.0722,0.0760,0.0841,0.0689,0.0081,-0.0033
197311,0.0783,0.0767,0.0842,0.0712,0.0075,-0.0071
197312,0.0745,0.0768,0.0848,0.0726,0.0080,-0.0019
197401,0.0777,0.0783,0.0848,0.0740,0.0065,-0.0037
197402,0.0712,0.0785,0.0853,0.0748,0.0068,0.0036
197403,0.0796,0.0801,0.0862,0.0783,0.0061,-0.0013
197404,0.0833,0.0825,0.0887,0.0816,0.0062,-0.0017
197405,0.0823,0.0837,0.0905,0.0810,0.0068,-0.0013
197406,0.0790,0.0847,0.0927,0.0812,0.0080,0.0022
197407,0.0755,0.0872,0.0948,0.0823,0.0076,0.0068
197408,0.0896,0.0900,0.0977,0.0855,0.0077,-0.0041
197409,0.0806,0.0924,0.1018,0.0837,0.0094,0.0031
197410,0.0746,0.0927,0.1048,0.0795,0.0121,0.0049
197411,0.0747,0.0889,0.1060,0.0771,0.0171,0.0024
197412,0.0715,0.0889,0.1063,0.0760,0.0174,0.0045
197501,0.0626,0.0883,0.1081,0.0796,0.0198,0.0170
197502,0.0550,0.0862,0.1065,0.0788,0.0203,0.0238
197503,0.0549,0.0867,0.1048,0.0824,0.0181,0.0275
197504,0.0561,0.0895,0.1058,0.0852,0.0163,0.0291
197505,0.0523,0.0890,0.1069,0.0836,0.0179,0.0313
197506,0.0534,0.0877,0.1062,0.0813,0.0185,0.0279
197507,0.0613,0.0884,0.1055,0.0829,0.0171,0.0216
197508,0.0644,0.0895,0.1059,0.0844,0.0164,0.0200
197509,0.0642,0.0895,0.1061,0.0862,0.0166,0.0220
197510,0.0596,0.0886,0.1062,0.0819,0.0176,0.0223
197511,0.0548,0.0878,0.1056,0.0838,0.0178,0.0290
197512,0.0544,0.0879,0.1056,0.0805,0.0177,0.0261
197601,0.0487,0.0860,0.1041,0.0802,0.0181,0.0315
197602,0.0488,0.0855,0.1024,0.0802,0.0169,0.0314
197603,0.0500,0.0852,0.1012,0.0792,0.0160,0.0292
197604,0.0486,0.0840,0.0994,0.0797,0.0154,0.0311
197605,0.0520,0.0858,0.0986,0.0821,0.0128,0.0301
197606,0.0541,0.0862,0.0989,0.0807,0.0127,0.0266
197607,0.0523,0.0856,0.0982,0.0805,0.0126,0.0282
197608,0.0514,0.0845,0.0964,0.0790,0.0119,0.0276
197609,0.0508,0.0838,0.0940,0.0781,0.0102,0.0273
197610,0.0492,0.0832,0.0929,0.0779,0.0097,0.0287
197611,0.0475,0.0825,0.0923,0.0749,0.0098,0.0274
197612,0.0435,0.0798,0.0912,0.0721,0.0114,0.0286
197701,0.0462,0.0796,0.0908,0.0764,0.0112,0.0302
197702,0.0467,0.0804,0.0912,0.0775,0.0108,0.0308
197703,0.0460,0.0810,0.0912,0.0772,0.0102,0.0312
197704,0.0454,0.0804,0.0907,0.0771,0.0103,0.0317
197705,0.0496,0.0805,0.0901,0.0765,0.0096,0.0269
